Idx,V2
1,2785.0
2,1398.59
3,3560.0
4,1821.0
5,4066.542676557
6,6097.48496223
7,1092.525126
8,1816.016128
9,8981.0
10,2035.0
11,3035.0
12,7324.4
13,4464.5
14,1631.5
15,1922.3
16,1922.3
17,2631.0
18,4129.5
19,886.5
20,886.5
21,1797.5
22,1400.0
23,1943.3
24,1738.5
25,1717.3
26,2211.0
27,3549.5
28,2010.3
29,1227.25
30,2699.5
31,2699.5
32,1476.0
33,3393.5
34,1432.5
35,1480.0
36,2295.0
37,2295.0
38,653.9
39,1020.0
40,902.0
41,548.0
42,775.0
43,1147.0
44,2118.0
45,2894.0
46,2580.0
47,2598.0
48,2226.0
49,38.0
50,4990.0
51,168.0
52,720.0
53,1160.1
54,2083.9
55,136.0
56,1056.3
57,6155.0
58,4555.0
59,4535.0
60,4240.0
61,6630.0
62,974.7
63,4445.0
64,7165.0
65,1214.4
66,8633.0
67,10045.0
68,9307.0
69,9135.0
70,8340.0
71,8806.0
72,8688.0
73,8721.0
74,8565.0
75,4800.0
76,7725.0
77,5020.0
78,5490.0
79,5450.0
80,5555.0
81,4475.0
82,3940.0
83,4680.0
84,5105.0
85,9922.0
86,4212.0
87,7158.0
88,9265.0
89,9033.0
90,9033.0
91,6737.5
92,7970.0
93,7775.0
94,8685.0
95,7155.0
96,7118.0
97,6365.0
98,8660.0
99,1300.0
100,1055.0
101,10100.0
102,9850.0
103,3426.0
104,975.3
105,2527.3
106,2812.0
107,957.8
108,4274.0
109,1295.3
110,11090.0
111,2421.8
112,707.0
113,1328.0
114,1157.4
115,3643.0
116,8725.0
117,650.0
118,1035.6
119,1020.5
120,11878.0
121,1251.5
122,1717.25
123,8058.0
124,1286.1
125,1146.0
126,8485.0
127,1111.5
128,1109.3
129,1109.3
130,816.6
131,8813.0
132,8385.0
133,555.0
134,200.0
135,8770.0
136,1282.0
137,326.5
138,384.0
139,1182.5
140,1184.8
141,180.0
142,1023.5
143,162.0
144,92.0
145,1520.0
146,801.11
147,206.0
148,160.0
149,1224.5
150,1692.0
151,1397.5
152,1430.5
153,1430.5
154,1426.0
155,1544.5
156,830.9
157,1612.0
158,2428.0
159,1057.9
160,3226.0
161,3827.0
162,2141.0
163,2690.0
164,2846.0
165,3508.0
166,2875.0
167,2752.0
168,2047.0
169,2778.0
170,2750.0
171,1769.4
172,39.7
173,823.0
174,1144.0
175,11078.5
176,4300.0
177,65.0
178,1280.0
179,84.5
180,1062.6
181,1431.0
182,1426.0
183,1425.0
184,6000.0
185,9804.0
186,1746.5
187,8016.0
188,6036.0
189,6142.0
190,6165.0
191,6207.0
192,5597.0
193,1175.6
194,1672.04
195,4522.9311943
196,1742.590937
197,5222.0
198,5973.8
199,7129.5
200,1621.84
201,3939.7
202,17751.4
203,5723.5
204,3851.2
205,8690.1992629
206,1232.29
207,360.90869624
208,2175.6
209,3685.5
210,4179.52687982
211,4398.7
212,14646.1
213,1315.610071462
214,5300.4
215,5594.2
216,990.9699831732
217,589.03530729
218,4598.32884775
219,1577.46
220,2060.03
221,10133.3
222,4175.6053283
223,1127.52
224,4856.0
225,4297.7
226,1003.63
227,802.28
228,1371.7563506
229,1224.0867856
230,2155.604023118
231,886.19
232,9045.8
233,9045.8
234,1849.6
235,1177.9315154224
236,2990.6
237,1148.5912612
238,4755.3
239,695.02953595
240,1165.86180943
241,2074.55620467
242,2556.3
243,5734.9
244,1968.7
245,814.2
246,2639.3
247,2534.4
248,2605.2
249,3333.5
250,671.85367149
251,5863.0
252,4214.1
253,928.14293369
254,5122.4
255,937.00347069
256,9562.1
257,9521.9
258,101.7432424068
259,10186.3
260,6877.8
261,11998.6
262,8517.2
263,605.02226004
264,7955.6
265,3458.6
266,928.7
267,2537.0
268,2928.4
269,855.4
270,1392.2
271,2022.4
272,2346.4
273,1932.6
274,2186.0
275,650.19486
276,4928.848597
277,1718.8
278,954.76
279,2151.483494
280,1593.1
281,6474.9
282,2785.992166
283,5819.6
284,1360.5
285,2014.3
286,394.48094122
287,2545.0
288,488.31
289,3159.0
290,3201.7
291,1456.7
292,936.8
293,4629.2
294,1363.0
295,6793.8
296,1838.5
297,1003.467637
298,3435.1
299,2529.6
300,14815.8
301,5096.0
302,1396.9
303,593.41
304,536.0312098
305,6763.7
306,4557.1
307,3438.0
308,4287.5
309,4078.5
310,4114.0
311,588.54
312,696.47
313,6688.1
314,9414.8
315,7188.7
316,7661.9
317,6283.5
318,9121.1
319,4517.9
320,320.9147313
321,4043.6
322,3439.6
323,7292.2
324,4676.5
325,2511.8
326,2673.9
327,4937.6
328,682.0230742
329,5039.4
330,2705.8
331,1892.8
332,818.474973
333,1579.1
334,969.2
335,587.5
336,1396.5
337,13174.9
338,2517.0105448
339,7171.6
340,4134.9
341,980.61
342,4150.3
343,4307.0665393
344,2844.4
345,2561.1
346,4242.1
347,6736.0
348,2208.6810883362
349,5672.9
350,962.62214923
351,6397.8
352,6082.3
353,3753.0
354,7789.2
355,9449.2
356,10724.8
357,5559.8
358,6641.6
359,4841.5
360,2342.2660927319
361,9472.5
362,7808.4
363,7248.5
364,11183.9
365,6186.4
366,5774.1
367,7078.3
368,9784.5
369,5822.4
370,6063.9
371,8470.7
372,8057.7
373,5372.0
374,4256.3
375,6547.0
376,11595.9
377,10694.4
378,8536.8
379,9565.2
380,4692.9
381,2361.5
382,2630.1
383,3859.6
384,3574.5
385,2621.7
386,4511.9
387,2830.8
388,4270.5
389,7998.9
390,2856.83482134
391,8248.5
392,3295.7
393,2771.0
394,2270.9
395,1759.0
396,5392.7
397,3952.1
398,964.09
399,5717.0
400,293.33
401,3492.6
402,3763.0484481
403,5027.0
404,349.19
405,1003.18
406,1001.15
407,715.4
408,1742.3
409,634.5852524
410,1139.6
411,2624.42514122
412,4543.4
413,3441.2
414,2043.4
415,3193.6
416,2876.8
417,3376.3
418,1677.3
419,3492.3
420,4167.1
421,6065.8
422,2454.8
423,5221.7
424,3578.7
425,1820.5
426,2776.0
427,1227.0
428,4061.0
429,1566.0
430,6094.5
431,304.43
432,2674.7
433,3273.4
434,3595.3
435,2483.9
436,3700.4
437,8582.0
438,643.5
439,611.9
440,2446.1
441,3191.1
442,339.01
443,3700.5
444,451.81
445,7867.9
446,1943.3095132
447,6145.1
448,1368.85
449,5771.9
450,2153.0916907
451,2074.503844
452,3590.0
453,1263.49
454,5207.3
455,4879.8
456,9471.6
457,9113.4
458,1271.79
459,1324.05
460,1021.28
461,1567.5
462,1283.9
463,10346.9
464,588.25
465,598.28
466,735.56
467,2475.1
468,4349.9
469,10037.9
470,5025.2
471,2612.0
472,7519.3
473,3580.5
474,2406.7898897
475,5054.0
476,816.43
477,2691.9
478,4193.0
479,4599.2
480,7260.3
481,6119.8
482,10128.0
483,9392.250801
484,1000.36
485,14642.9
486,825.91
487,2393.9
488,9689.2
489,449.48871531
490,14599.2
491,3942.3
492,1006.97
493,3395.0
494,759.46
495,9154.1
496,727.96
497,1776.6024467
498,3062.22
499,3029.27
500,1757.83
501,2956.2
502,3445.4071169
503,9330.6
504,7676.7
505,1429.5980487
506,12212.9
507,4907.9
508,7058.2
509,8275.9
510,7853.3
511,4991.7
512,990.21
513,9596.5
514,717.86
515,1198.9
516,2388.6
517,616.22
518,708.84
519,729.84
520,1992.0
521,505.352833629
522,1174.01
523,495.69
524,3432.9
525,605.41
526,4311.3
527,2893.8
528,3622.7
529,1005.1333117
530,10038.3
531,620.81
532,1211.89
533,726.46
534,4316.5
535,658.02
536,709.22
537,1941.62
538,1008.32
539,1003.93
540,1003.93
541,5785.9
542,7880.5
543,981.8714244
544,8218.3
545,803.33
546,1216.4499388
547,831.29
548,557.66
549,10320.3
550,1076.9946307
551,1032.15
552,865.43
553,1025.74
554,1459.78722071
555,5478.8774365
556,1329.29783136
557,897.58
558,6813.7
559,996.14
560,2400.5
561,973.71
562,1279.59
563,1741.6
564,1471.2
565,2397.8
566,1900.0
567,2687.7
568,973.14
569,2510.4
570,9796.0
571,988.87532469
572,4650.0
573,3913.0
574,2462.2
575,2625.9
576,6906.189283
577,7902.9
578,3466.0
579,4504.4
580,4581.2
581,3979.3
582,4766.2
583,3818.3
584,3930.3
585,2264.2
586,9650.1
587,911.7
588,986.13
589,10004.1
590,1000.14
591,1422.5297199
592,2838.596597
593,2199.7
594,4806.9
595,7997.9
596,6031.7
597,6427.1
598,7505.5
599,5883.4
600,6538.8
601,2391.3993744938
602,8168.1
603,9674.7
604,2628.3863588
605,11454.2
606,876.65
607,1703.0
608,7573.3
609,6106.1
610,6538.0
611,4517.4
612,4759.2
613,2292.5
614,2814.1
615,2199.9
616,7016.7
617,889.7
618,1102.69
619,1184.42
620,1387.08
621,1335.97
622,4817.5
623,8652.1
624,6976.0
625,5849.01257197
626,15308.3
627,12826.9
628,8880.0
629,6192.2
630,6083.4
631,6715.1
632,3268.4
633,1138.130929774
634,789.53
635,5607.8
636,842.00378946738
637,3921.6
638,6353.5
639,6512.3
640,9904.8
641,2783.32174658
642,1266.40086933
643,816.46
644,5648.8
645,2559.5
646,1862.77232568
647,6201.0
648,6198.2
649,803.641632451
650,6674.1
651,6597.5
652,5205.1
653,3807.3
654,814.114110283
655,5491.5
656,8212.9
657,4394.9
658,3764.5
659,4367.2
660,1508.91215678
661,1793.32497766
662,5027.5
663,2997.4
664,4525.8
665,6778.1
666,6671.38373959
667,18524.2
668,5213.52402199
669,6814.27474982
670,7323.7
671,11582.3
672,1037.66
673,17226.7
674,6217.1
675,10151.6
676,4420.6949674
677,3744.4
678,4777.5
679,5480.3
680,1398.890229751
681,595.780111026
682,666.147546858
683,1173.407640216
684,10087.5
685,5954.4
686,5058.8
687,12478.7
688,11262.1
689,1700.5171285836
690,6147.0
691,6503.0
692,8777.8
693,1190.446551674
694,4898.7
695,1624.53024711
696,3978.8
697,829.58
698,376.71
699,1483.67
700,720.98
701,810.04
702,635.88
703,512.43
704,5887.2
705,4249.5
706,1214.55
707,5792.5
708,7189.4805827
709,5118.2
710,996.88
711,991.17
712,3466.1
713,1452.57
714,580.85
715,2001.8
716,1196.5
717,4333.3
718,5010.0
719,3548.094957899
720,1011.42
721,1031.95
722,1096.15
723,3666.3
724,2622.1
725,2556.1
726,3910.7
727,3174.5
728,6889.1
729,1625.42476456
730,4151.0
731,4497.8
732,3487.1
733,8503.4
734,4314.18841601
735,1091.36
736,1300.63
737,1869.67
738,1473.349481212
739,1682.4
740,1233.4507852
741,4135.7
742,6895.9
743,1044.96
744,2142.9
745,3426.9561504
746,1806.8
747,1513.9
748,444.19780538
749,4157.1
750,325.14100386
751,3670.6
752,2942.5
753,6139.4
754,7181.1
755,3535.9
756,5151.5
757,2504.7
758,6852.6
759,6849.9
760,762.700652
761,2790.649407
762,254.3428187
763,3252.4
764,3644.11884
765,5996.5
766,3030.224569
767,910.03
768,4516.4
769,400.1084944
770,449.5452934
771,778.24
772,1381.41
773,1291.7
774,3655.7
775,8613.1
776,2763.0
777,10372.3
778,6423.2
779,2522.0
780,3988.7
781,762.6612656
782,5807.3
783,5410.6
784,3464.0
785,3552.4
786,2416.5
787,1719.3
788,4695.4
789,4446.7
790,4091.8
791,1368.5
792,1227.2
793,516.122951402
794,1725.14
795,1420.57
796,1729.35
797,1085.56
798,951.43
799,1909.8
800,1909.1
801,9067.2
802,5681.390373
803,2536.4
804,6504.2
805,1155.3
806,765.226199921
807,1234.1
808,1172.2
809,73.98238657
810,2572.6187361
811,3851.3
812,3765.1
813,2368.7
814,182.7881857
815,1652.1
816,487.7042999
817,750.64
818,1663.1
819,2171.6550433
820,1479.0
821,6116.7
822,857.8404725
823,1346.3
824,1892.9
825,7360.4
826,2235.7
827,3801.7
828,2966.8
829,1952.5
830,3391.4
831,1015.8
832,1201.9
833,1464.5750393
834,959.86021815032
835,2456.5
836,3145.2
837,1985.0
838,2647.1137276
839,2412.5
840,2153.0
841,7671.9
842,445.07
843,726.17
844,2291.9
845,2943.8
846,4267.9
847,342.49
848,6403.1
849,5752.7
