Idx,V6
1,1018.7
2,2802.3
3,1080.1
4,1036.0
5,3014.97
6,159.6021
7,369.642
8,1018.15
9,1016.87
10,2006.4
11,1108.5
12,1803.9
13,2720.9
14,1982.2
15,2527.1
16,16554.8
17,3184.1
18,11525.3
19,451.7
20,11064.4
21,425.7
22,1307.98
23,1178.82
24,1244.95
25,1040.11
26,1155.85
27,1122.02
28,1004.85
29,2124.9
30,1004.85
31,9567.9
32,9567.9
33,6792.99075043
34,750.0
35,4176.0
36,6086.75
37,2877.0
38,3106.0
39,3093.0
40,3261.0
41,10900.1
42,11002.5
43,998.4
44,8490.0
45,996.5
46,9965.0
47,996.5
48,98.8125
49,99.705
50,99.6625
51,984.2
52,3717.0
53,984.2
54,2299.8
55,4390.0
56,118.7
57,1487.0
58,1682.0
59,4330.0
60,879.8
61,6135.0
62,5030.0
63,4320.0
64,1349.5
65,5660.0
66,1780.0
67,4130.0
68,4560.0
69,250.0
70,1440.0
71,2299.8
72,1704.3
73,984.2
74,1752.5
75,1752.5
76,1605.2
77,1605.2
78,3935.2
79,9376.0
80,2299.8
81,1415.2
82,1010.1
83,3182.2
84,1752.5
85,10467.2
86,1661.0
87,2026.0
88,2065.0
89,1976.0
90,1987.0
91,1974.0
92,1998.0
93,2090.0
94,2013.0
95,2001.0
96,1967.0
97,2001.0
98,1390.1
99,8241.2
100,1604.53
101,5761.9
102,872.38
103,5348.1
104,4837.7
105,5434.0
106,1220.62
107,1314.81
108,1022.92
109,1021.77
110,1023.3
111,6345.5
112,4203.5
113,4657.9
114,2789.5
115,2566.8
116,3587.2
117,1401.31
118,18615.4
119,18495.3
120,3953.6
121,5635.6
122,4319.7
123,7548.8
124,1066.7
125,1377.54
126,934.25
127,6521.6
