Idx,price
0,160.404
1,160.82
2,162.127
3,157.423
4,158.057
5,157.007
6,158.948
7,162.474
8,158.225
9,153.392
10,153.343
11,157.374
12,157.215
13,152.511
14,150.966
15,149.57
16,145.826
17,150.808
18,152.858
19,152.58
20,149.53
21,152.768
22,150.946
23,148.302
24,142.875
25,142.182
26,147.807
27,145.222
28,142.667
29,140.023
30,144.727
31,149.431
32,150.491
33,153.571
34,153.279
35,155.481
36,153.09
37,157.069
38,156.979
39,158.845
40,162.218
41,160.055
42,157.684
43,157.218
44,160.204
45,156.83
46,153.12
47,153.358
48,151.215
49,147.405
50,146.75
51,149.112
52,145.49
53,145.966
54,148.705
55,148.566
56,146.046
57,141.958
58,144.091
59,138.724
60,140.777
61,146.413
62,140.311
63,142.444
64,142.692
65,147.703
66,140.599
67,139.468
68,134.07
69,136.114
70,131.818
71,130.459
72,134.795
73,133.604
74,137.474
75,131.183
76,129.745
77,130.032
78,133.019
79,131.044
80,132.572
81,135.757
82,140.351
83,139.349
84,138.932
85,142.295
86,138.892
87,138.902
88,140.559
89,138.972
90,135.261
91,130.062
92,124.298
93,125.081
94,127.721
95,122.522
96,123.643
97,126.782
98,126.245
99,128.135
100,132.74
101,131.845
102,127.896
103,128.155
104,126.444
105,126.732
106,128.324
107,129.428
108,132.104
109,132.163
110,130.343
111,128.562
112,128.224
113,129.398
114,131.676
115,130.403
116,134.381
117,136.48
118,138.4
119,136.49
120,135.625
121,133.426
122,139.166
123,141.284
124,143.453
125,143.144
126,142.13
127,145.91
128,146.576
129,146.238
130,144.995
131,143.542
132,147.461
133,146.884
134,149.809
135,150.754
136,150.346
137,149.272
138,150.048
139,147.322
140,143.214
141,142.836
142,142.926
143,145.343
144,139.136
145,137.296
146,135.863
147,134.54
148,133.884
149,132.143
150,131.268
151,133.367
152,133.824
153,136.47
154,138.658
155,131.298
156,131.775
157,128.742
158,128.025
159,129.069
160,128.311
161,126.307
162,125.021
163,123.385
164,122.528
165,122.687
166,123.984
167,120.753
168,118.44
169,122.109
170,126.207
171,126.626
172,125.589
173,120.424
174,118.4
175,116.585
176,116.226
177,119.836
178,116.465
179,120.015
180,121.032
181,120.683
182,120.753
183,123.984
184,125.699
185,128.102
186,125.25
187,123.824
188,129.209
189,127.504
190,126.437
191,122.069
192,118.48
193,120.643
194,122.658
195,123.834
196,120.613
197,130.525
198,132.758
199,131.622
200,133.217
201,131.392
202,131.562
203,131.711
204,130.296
205,132.818
206,133.995
207,133.217
208,130.365
209,129.089
210,135.57
211,135.76
212,134.972
213,132.728
214,129.887
215,129.229
216,131.342
217,130.535
218,133.387
219,134.962
220,133.825
221,128.82
222,127.115
223,125.42
224,125.61
225,127.69
226,124.47
227,124.6
228,123.42
229,121.43
230,124.61
231,124.44
232,123.26
233,123.58
234,121.18
235,124.73
236,126.18
237,126.96
238,129.16
239,130.12
240,130.49
241,131.08
242,129.39
243,127.88
244,131.34
245,134.33
246,134.27
247,133.99
248,136.13
249,136.7
250,134.09
251,135.96
252,139.16
253,142.96
254,141.77
255,140.04
256,143.54
257,141.81
258,141.03
259,140.38
260,142.81
261,143.42
262,144.09
263,141.59
264,139.82
