Idx,price
0,84.07
1,86.84
2,87.475
3,86.204
4,87.153
5,88.168
6,86.641
7,88.177
8,87.191
9,89.164
10,87.286
11,85.503
12,86.008
13,86.914
14,85.456
15,83.739
16,84.121
17,83.644
18,87.019
19,90.442
20,92.444
21,93.474
22,92.873
23,95.6
24,96.553
25,94.198
26,91.729
27,95.076
28,93.827
29,92.053
30,90.623
31,90.404
32,94.227
33,94.961
34,97.974
35,97.03
36,99.509
37,99.671
38,102.493
39,98.68
40,96.0
41,96.672
42,95.62
43,96.174
44,96.146
45,93.755
46,93.267
47,95.581
48,98.536
49,93.688
50,95.62
51,95.84
52,96.93
53,98.938
54,97.111
55,98.173
56,94.348
57,91.804
58,87.645
59,87.32
60,88.984
61,93.277
62,91.336
63,91.718
64,94.596
65,99.311
66,98.354
67,102.973
68,92.942
69,93.707
70,94.702
71,95.237
72,98.402
73,101.332
74,102.792
75,100.352
76,100.477
77,100.871
78,104.713
79,105.154
80,106.806
81,108.679
82,110.072
83,107.921
84,111.177
85,110.418
86,113.453
87,112.742
88,117.862
89,117.045
90,113.876
91,112.214
92,107.344
93,107.085
94,105.01
95,98.373
96,90.036
97,95.357
98,89.383
99,84.418
100,87.318
101,89.273
102,92.168
103,88.528
104,86.931
105,88.064
106,81.927
107,80.668
108,83.582
109,83.688
110,82.808
111,80.775
112,80.446
113,78.994
114,80.233
115,82.343
116,85.644
117,87.802
118,86.079
119,85.305
120,89.099
121,88.17
122,90.28
123,91.045
124,94.307
125,92.051
126,91.674
127,88.393
128,86.999
129,89.874
130,90.628
131,92.448
132,92.903
133,97.143
134,99.456
135,97.97
136,97.318
137,98.543
138,101.965
139,102.218
140,102.315
141,105.436
142,107.449
143,108.965
144,109.004
145,110.268
146,107.429
147,106.408
148,104.542
149,107.196
150,105.611
151,103.793
152,105.31
153,108.858
154,111.211
155,109.208
156,114.439
157,112.348
158,109.986
159,109.733
160,108.956
161,108.003
162,107.001
163,97.794
164,96.443
165,96.015
166,100.138
167,102.159
168,100.858
169,108.378
170,113.946
171,114.252
172,115.947
173,116.794
174,115.109
175,113.907
176,114.616
177,120.963
178,116.252
179,116.646
180,116.183
181,119.356
182,120.046
183,122.688
184,123.328
185,122.146
186,124.738
187,124.806
188,125.329
189,124.264
190,125.93
191,124.678
192,131.882
193,130.404
194,132.986
195,132.494
196,123.446
197,127.586
198,132.02
199,131.619
200,132.668
201,127.869
202,129.799
203,127.226
204,124.159
205,128.601
206,125.396
207,125.465
208,122.527
209,122.932
210,122.2
211,121.755
212,120.884
213,118.104
214,114.384
215,113.662
216,111.406
217,108.853
218,110.595
219,112.207
220,111.673
221,111.356
222,109.269
223,109.269
224,111.455
225,115.047
226,111.703
227,116.531
228,117.945
229,114.799
230,115.874
231,117.477
232,112.619
233,112.838
234,116.252
235,117.706
236,116.84
237,117.557
238,117.716
239,119.627
240,120.932
241,119.707
242,118.024
243,119.11
244,121.26
245,119.598
246,118.283
247,119.836
248,124.098
249,123.062
250,119.996
251,121.33
252,117.178
253,110.807
254,107.631
255,107.014
256,111.524
257,110.299
258,109.443
259,114.55
260,112.31
261,113.55
262,111.65
263,108.36
264,104.12
